epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,6588.77,1.2111,2.09285,1.72719,0.01453,1.65015,0.59422,0.57209,0.58802,0.40003,0.59467,0.56211,0.57881,0.34797,1.27206,2.24589,1.55799,0.02079,0,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,6739.73,1.21362,2.07358,1.69967,0.01452,1.5952,0.58342,0.53777,0.57071,0.38947,0.5846,0.53595,0.55923,0.33741,1.28125,2.22355,1.58704,0.02112,0,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
45,6890.08,1.21633,2.09554,1.70447,0.01458,1.62767,0.59245,0.56743,0.58183,0.3854,0.58057,0.55618,0.56602,0.33569,1.31377,2.24813,1.5832,0.02173,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
46,7040.48,1.21329,2.09257,1.7068,0.01434,1.60046,0.566,0.57084,0.56653,0.37838,0.55975,0.55934,0.54789,0.32682,1.25622,2.25959,1.5997,0.02066,0,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
47,7192.48,1.21213,2.0669,1.68278,0.01428,1.63107,0.56953,0.5662,0.57545,0.38629,0.56783,0.56194,0.56463,0.33499,1.29315,2.23978,1.57964,0.0218,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
48,7342.39,1.21125,2.05947,1.69948,0.0144,1.60466,0.59016,0.55865,0.56668,0.3798,0.58917,0.55731,0.55444,0.3316,1.30894,2.23884,1.59561,0.02223,0,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675
49,7493.45,1.20529,2.04542,1.67142,0.01435,1.58392,0.58572,0.56884,0.58122,0.39196,0.58046,0.56272,0.56672,0.33596,1.28093,2.27091,1.54591,0.02149,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
50,7643.37,1.19897,2.05207,1.68676,0.01415,1.61047,0.58244,0.58292,0.58312,0.39025,0.57582,0.5682,0.56665,0.33256,1.29163,2.26209,1.56402,0.02142,0,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725
51,7793.96,1.21507,2.05425,1.68809,0.0143,1.56448,0.59595,0.56627,0.58168,0.39384,0.59105,0.55439,0.56642,0.34456,1.28543,2.17698,1.52638,0.02131,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
52,7944.12,1.2078,2.0491,1.68371,0.01418,1.58102,0.54329,0.60092,0.59358,0.40288,0.55692,0.57422,0.57833,0.34798,1.24717,2.18442,1.51779,0.02042,0,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775
